benchmark,dataset,comp,rational,mem,localmem,coalesced,atomic,transfer,wgsize,F1:transfer/(comp+mem),F2:coalesced/mem,F3:(localmem/mem)*avgws,F4:comp/mem,oracle,runtime,speedup,penalty,runtime_cpu,ci_cpu,ci_mean_cpu,runtime_gpu,ci_gpu,ci_mean_gpu,kernel_nlines,kernel_size
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,131072,2,2,2,0,2,0,3145728,256,786432.0,1,0.0,1,GPU,0.718067,1.00,1.00,0.720714,0.143072,0.198514,0.718067,0.21003,0.292494,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,16384,2,2,2,0,2,0,393216,256,98304.0,1,0.0,1,GPU,0.099289,1.41,0.71,0.139877,0.040094,0.286638,0.099289,0.002347,0.023638,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,2048,2,2,2,0,2,0,49152,256,12288.0,1,0.0,1,GPU,0.048859,1.21,0.83,0.058889,0.017842,0.302977,0.048859,0.001642,0.033607,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,2097152,2,2,2,0,2,0,50331648,256,12582912.0,1,0.0,1,GPU,7.280356,1.61,0.62,11.734297,1.56451,0.133328,7.280356,2.797173,0.384208,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,256,2,2,2,0,2,0,6144,256,1536.0,1,0.0,1,CPU,0.01239,3.79,0.26,0.01239,0.003984,0.32155,0.046993,0.002702,0.057498,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,262144,2,2,2,0,2,0,6291456,256,1572864.0,1,0.0,1,CPU,1.275514,1.02,0.98,1.275514,0.301999,0.236767,1.299171,0.167637,0.129034,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,4096,2,2,2,0,2,0,98304,256,24576.0,1,0.0,1,GPU,0.055763,1.46,0.68,0.081686,0.009058,0.110888,0.055763,0.001591,0.028531,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,4194304,2,2,2,0,2,0,100663296,256,25165824.0,1,0.0,1,GPU,4.678785,5.34,0.19,24.965634,1.142973,0.045782,4.678785,0.20145,0.043056,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,512,2,2,2,0,2,0,12288,256,3072.0,1,0.0,1,CPU,0.037574,1.35,0.74,0.037574,0.016105,0.428621,0.050726,0.006256,0.123329,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,524288,2,2,2,0,2,0,12582912,256,3145728.0,1,0.0,1,GPU,2.530637,1.18,0.85,2.978006,0.493863,0.165837,2.530637,0.999067,0.394789,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,64,2,2,2,0,2,0,1536,64,384.0,1,0.0,1,CPU,0.009457,1.47,0.68,0.009457,0.003298,0.348736,0.013867,0.000513,0.036994,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,65536,2,2,2,0,2,0,1572864,256,393216.0,1,0.0,1,CPU,0.334495,1.10,0.91,0.334495,0.041927,0.125344,0.367452,0.063579,0.173027,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,8192,2,2,2,0,2,0,196608,256,49152.0,1,0.0,1,CPU,0.045201,1.56,0.64,0.045201,0.012422,0.274817,0.070696,0.000847,0.011981,12,220
011cb6eaff0d8431d380597d216780676df68344.cl-A,1024,1,1,3,0,2,0,24576,256,6144.0,0.667,0.0,0.333,GPU,0.01357,4.73,0.21,0.064226,0.005532,0.086133,0.01357,0.000381,0.028077,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,1048576,1,1,3,0,2,0,25165824,256,6291456.0,0.667,0.0,0.333,CPU,4.284963,1.35,0.74,4.284963,1.137718,0.265514,5.77843,1.731326,0.299619,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,128,1,1,3,0,2,0,3072,128,768.0,0.667,0.0,0.333,CPU,0.009624,1.52,0.66,0.009624,0.00388,0.403159,0.014666,0.003936,0.268376,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,131072,1,1,3,0,2,0,3145728,256,786432.0,0.667,0.0,0.333,CPU,0.348784,2.54,0.39,0.348784,0.083457,0.23928,0.884296,0.542299,0.613255,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,16384,1,1,3,0,2,0,393216,256,98304.0,0.667,0.0,0.333,GPU,0.031881,3.30,0.30,0.105208,0.028604,0.27188,0.031881,0.003335,0.104608,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,2048,1,1,3,0,2,0,49152,256,12288.0,0.667,0.0,0.333,GPU,0.014192,3.42,0.29,0.048511,0.014066,0.289955,0.014192,0.000458,0.032272,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,2097152,1,1,3,0,2,0,50331648,256,12582912.0,0.667,0.0,0.333,GPU,7.287555,1.14,0.88,8.273984,2.063861,0.24944,7.287555,3.68304,0.505388,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,256,1,1,3,0,2,0,6144,256,1536.0,0.667,0.0,0.333,GPU,0.013393,1.11,0.90,0.014932,0.018241,1.221605,0.013393,0.00048,0.03584,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,262144,1,1,3,0,2,0,6291456,256,1572864.0,0.667,0.0,0.333,CPU,0.847545,1.77,0.57,0.847545,0.361817,0.4269,1.498452,0.704231,0.469972,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,4096,1,1,3,0,2,0,98304,256,24576.0,0.667,0.0,0.333,GPU,0.016029,4.74,0.21,0.076028,0.011913,0.156692,0.016029,0.000458,0.028573,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,4194304,1,1,3,0,2,0,100663296,256,25165824.0,0.667,0.0,0.333,GPU,4.781896,2.78,0.36,13.277663,2.130604,0.160465,4.781896,0.185166,0.038722,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,512,1,1,3,0,2,0,12288,256,3072.0,0.667,0.0,0.333,GPU,0.01351,3.99,0.25,0.053917,0.007079,0.131294,0.01351,0.000399,0.029534,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,524288,1,1,3,0,2,0,12582912,256,3145728.0,0.667,0.0,0.333,CPU,1.886327,1.51,0.66,1.886327,0.394489,0.209131,2.844904,1.663671,0.58479,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,64,1,1,3,0,2,0,1536,64,384.0,0.667,0.0,0.333,CPU,0.009903,1.35,0.74,0.009903,0.002187,0.220842,0.013333,0.000521,0.039076,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,65536,1,1,3,0,2,0,1572864,256,393216.0,0.667,0.0,0.333,CPU,0.133955,2.81,0.36,0.133955,0.022205,0.165765,0.37646,0.064911,0.172425,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,8192,1,1,3,0,2,0,196608,256,49152.0,0.667,0.0,0.333,GPU,0.02,3.28,0.30,0.065623,0.01021,0.155586,0.02,0.00061,0.0305,8,169
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,1024,3,1,4,0,3,0,32768,256,4681.142857,0.75,0.0,0.75,GPU,0.016918,5.48,0.18,0.092678,0.127064,1.371027,0.016918,0.000458,0.027072,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,1048576,3,1,4,0,3,0,33554432,256,4793490.285714,0.75,0.0,0.75,CPU,4.921086,1.23,0.82,4.921086,1.535792,0.312084,6.033963,1.856144,0.307616,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,128,3,1,4,0,3,0,4096,128,585.142857,0.75,0.0,0.75,CPU,0.010378,1.58,0.63,0.010378,0.002841,0.273752,0.016444,0.000431,0.02621,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,131072,3,1,4,0,3,0,4194304,256,599186.285714,0.75,0.0,0.75,CPU,0.430428,1.57,0.64,0.430428,0.067998,0.157978,0.677629,0.462339,0.682289,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,16384,3,1,4,0,3,0,524288,256,74898.285714,0.75,0.0,0.75,GPU,0.035703,3.21,0.31,0.114496,0.039038,0.340955,0.035703,0.0007,0.019606,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,2048,3,1,4,0,3,0,65536,256,9362.285714,0.75,0.0,0.75,GPU,0.018962,7.13,0.14,0.135239,0.175922,1.300823,0.018962,0.004538,0.239321,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,2097152,3,1,4,0,3,0,67108864,256,9586980.571429,0.75,0.0,0.75,GPU,8.062815,1.27,0.79,10.236395,2.489057,0.243158,8.062815,1.595544,0.197889,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,256,3,1,4,0,3,0,8192,256,1170.285714,0.75,0.0,0.75,GPU,0.016415,1.05,0.95,0.017306,0.010807,0.624466,0.016415,0.000419,0.025525,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,262144,3,1,4,0,3,0,8388608,256,1198372.571429,0.75,0.0,0.75,CPU,0.784716,2.73,0.37,0.784716,0.426815,0.54391,2.145771,1.418335,0.660991,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,4096,3,1,4,0,3,0,131072,256,18724.571429,0.75,0.0,0.75,GPU,0.020148,4.39,0.23,0.08846,0.023031,0.260355,0.020148,0.000998,0.049533,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,4194304,3,1,4,0,3,0,134217728,256,19173961.142857,0.75,0.0,0.75,GPU,6.176711,2.46,0.41,15.221965,2.441379,0.160385,6.176711,0.228954,0.037067,8,228
013bbfdef9395b6f598f54a7f699fec3c66a4ef1.cl-A,512,3,1,4,0,3,0,16384,256,2340.571429,0.75,0.0,0.75,CPU,0.010336,1.87,0.54,0.010336,0.003966,0.383707,0.019289,0.00492,0.255068,8,228
