benchmark,dataset,comp,rational,mem,localmem,coalesced,atomic,transfer,wgsize,F1:transfer/(comp+mem),F2:coalesced/mem,F3:(localmem/mem)*avgws,F4:comp/mem,oracle,runtime,speedup,penalty,runtime_cpu,ci_cpu,ci_mean_cpu,runtime_gpu,ci_gpu,ci_mean_gpu,kernel_nlines,kernel_size
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,4194304,2,2,6,0,5,0,100663296,256,12582912.0,0.833,0.0,0.333,CPU,15.17887,2.44,0.41,15.17887,1.45477,0.095842,37.009818,0.119273,0.003223,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,512,2,2,6,0,5,0,12288,256,1536.0,0.833,0.0,0.333,GPU,0.016346,1.63,0.62,0.026567,0.022454,0.845184,0.016346,0.003852,0.235654,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,524288,2,2,6,0,5,0,12582912,256,1572864.0,0.833,0.0,0.333,CPU,1.874873,2.24,0.45,1.874873,0.351462,0.187459,4.197043,0.000426,0.000102,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,64,2,2,6,0,5,0,1536,64,192.0,0.833,0.0,0.333,CPU,0.013172,1.34,0.75,0.013172,0.008872,0.67355,0.017613,0.00425,0.241299,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,65536,2,2,6,0,5,0,1572864,256,196608.0,0.833,0.0,0.333,CPU,0.153789,3.52,0.28,0.153789,0.050206,0.32646,0.540742,0.003246,0.006003,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,8192,2,2,6,0,5,0,196608,256,24576.0,0.833,0.0,0.333,GPU,0.0472,1.94,0.52,0.091562,0.016925,0.184847,0.0472,0.003609,0.076462,8,191
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,1024,1,1,5,0,4,0,24576,256,4096.0,0.8,0.0,0.2,GPU,0.017011,3.95,0.25,0.067187,0.021217,0.31579,0.017011,0.003165,0.186056,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,1048576,1,1,5,0,4,0,25165824,256,4194304.0,0.8,0.0,0.2,CPU,4.447553,2.04,0.49,4.447553,0.494314,0.111143,9.061094,0.01321,0.001458,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,128,1,1,5,0,4,0,3072,128,512.0,0.8,0.0,0.2,CPU,0.012278,1.22,0.82,0.012278,0.010781,0.878075,0.014989,0.003044,0.203082,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,131072,1,1,5,0,4,0,3145728,256,524288.0,0.8,0.0,0.2,CPU,0.240922,4.42,0.23,0.240922,0.004902,0.020347,1.065882,0.001907,0.001789,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,16384,1,1,5,0,4,0,393216,256,65536.0,0.8,0.0,0.2,CPU,0.094969,1.18,0.85,0.094969,0.023943,0.252114,0.111795,0.003794,0.033937,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,2048,1,1,5,0,4,0,49152,256,8192.0,0.8,0.0,0.2,GPU,0.018317,3.59,0.28,0.065777,0.036893,0.56088,0.018317,0.002842,0.155156,8,173
